,dense value,accuracy,duration,X_train columns,Y_train columns
500,500,0.9829721450805664,11.291996717453003,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
750,750,0.9829721450805664,12.664248943328857,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
1000,1000,0.9845201373100281,12.860638618469238,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
1250,1250,0.9736841917037964,13.87897276878357,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
1500,1500,0.9860681295394897,14.955854892730713,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
1750,1750,0.9876161217689514,15.465597152709961,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
2000,2000,0.9876161217689514,15.929763555526733,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[0]
