,dense value,accuracy,duration,X_train columns,Y_train columns
500,500,0.9318885207176208,11.103429794311523,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
750,750,0.9303405284881592,12.158746004104614,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
1000,1000,0.9318885207176208,13.235085725784302,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
1250,1250,0.9303405284881592,13.729248046875,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
1500,1500,0.9318885207176208,15.222929239273071,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
1750,1750,0.9334365129470825,14.84081244468689,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
2000,2000,0.9318885207176208,16.008228540420532,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
