,dense value,accuracy,duration,X_train columns,Y_train columns
500,500,0.5216718316078186,11.366735458374023,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[12]
750,750,0.5371516942977905,11.511878490447998,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[12]
1000,1000,0.5263158082962036,12.858130693435669,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[12]
1250,1250,0.49226006865501404,14.461378812789917,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[12]
1500,1500,0.5139318704605103,15.270074844360352,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[12]
1750,1750,0.529411792755127,15.22813868522644,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[12]
2000,2000,0.5433436632156372,15.658413887023926,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[12]
