,dense value,accuracy,duration,X_train columns,Y_train columns
100,100,0.5600000023841858,9.85112190246582,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[12]
200,200,0.5353845953941345,10.128952026367188,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[12]
300,300,0.5584615468978882,10.40423321723938,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[12]
400,400,0.5123077034950256,11.288199186325073,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[12]
500,500,0.5584615468978882,12.11571192741394,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[12]
